# Rich high-density colored portrait coordinates
# Format: x y r g b   (r,g,b in 0-1 range)
# Total points: 376217
# Sorted top-to-bottom for sequential assembly
# Image: formal suit portrait
#
0.063490 0.937161 0.1451 0.1216 0.1216
0.067630 0.937161 0.1686 0.1451 0.1451
0.071771 0.937161 0.1373 0.1137 0.1216
0.075911 0.937161 0.1686 0.1451 0.1529
0.080052 0.937161 0.2235 0.2000 0.2078
0.084193 0.937161 0.2863 0.2627 0.2706
0.088333 0.937161 0.3647 0.3412 0.3490
0.092474 0.937161 0.5333 0.5176 0.5216
0.096615 0.937161 0.7725 0.7569 0.7608
0.100755 0.937161 0.9373 0.9216 0.9255
-0.019323 0.935781 0.8196 0.7961 0.8039
-0.015182 0.935781 0.5529 0.5294 0.5373
-0.011042 0.935781 0.4588 0.4353 0.4431
-0.006901 0.935781 0.3961 0.3725 0.3804
-0.002760 0.935781 0.3255 0.3020 0.3098
0.001380 0.935781 0.2431 0.2196 0.2275
0.005521 0.935781 0.2235 0.2000 0.2078
0.009661 0.935781 0.1922 0.1686 0.1765
0.013802 0.935781 0.1451 0.1216 0.1294
0.017943 0.935781 0.1608 0.1373 0.1451
0.022083 0.935781 0.1725 0.1569 0.1608
0.026224 0.935781 0.1804 0.1569 0.1647
0.030365 0.935781 0.1765 0.1529 0.1608
0.034505 0.935781 0.1843 0.1608 0.1686
0.038646 0.935781 0.1804 0.1569 0.1569
0.042786 0.935781 0.2000 0.1765 0.1765
0.046927 0.935781 0.2000 0.1843 0.1804
0.051068 0.935781 0.2039 0.1882 0.1843
0.055208 0.935781 0.1608 0.1451 0.1412
0.059349 0.935781 0.1765 0.1529 0.1529
0.063490 0.935781 0.1765 0.1529 0.1529
0.067630 0.935781 0.1882 0.1647 0.1647
0.071771 0.935781 0.1686 0.1333 0.1451
0.075911 0.935781 0.1569 0.1216 0.1333
0.080052 0.935781 0.1647 0.1294 0.1412
0.084193 0.935781 0.1961 0.1608 0.1725
0.088333 0.935781 0.2392 0.2039 0.2157
0.092474 0.935781 0.3137 0.2902 0.2980
0.096615 0.935781 0.5255 0.5020 0.5098
0.100755 0.935781 0.7686 0.7451 0.7529
-0.023464 0.934401 0.8863 0.8706 0.8745
-0.019323 0.934401 0.6235 0.6000 0.6078
-0.015182 0.934401 0.3725 0.3490 0.3569
-0.011042 0.934401 0.3216 0.2980 0.3059
-0.006901 0.934401 0.2706 0.2471 0.2549
-0.002760 0.934401 0.2196 0.1961 0.2039
0.001380 0.934401 0.2118 0.1882 0.1961
0.005521 0.934401 0.1961 0.1725 0.1804
0.009661 0.934401 0.1608 0.1373 0.1451
0.013802 0.934401 0.1529 0.1294 0.1373
0.017943 0.934401 0.1765 0.1529 0.1608
0.022083 0.934401 0.1843 0.1686 0.1725
0.026224 0.934401 0.2039 0.1804 0.1882
0.030365 0.934401 0.2118 0.1882 0.1961
0.034505 0.934401 0.2314 0.2078 0.2157
0.038646 0.934401 0.2118 0.1882 0.1882
0.042786 0.934401 0.2196 0.1961 0.1961
0.046927 0.934401 0.2118 0.1961 0.1922
0.051068 0.934401 0.2196 0.2039 0.2000
0.055208 0.934401 0.1686 0.1529 0.1490
0.059349 0.934401 0.1843 0.1608 0.1608
0.063490 0.934401 0.2157 0.1922 0.1922
0.067630 0.934401 0.2118 0.1882 0.1882
0.071771 0.934401 0.1843 0.1490 0.1608
0.075911 0.934401 0.1569 0.1216 0.1333
0.080052 0.934401 0.1765 0.1412 0.1529
0.084193 0.934401 0.1882 0.1529 0.1647
0.088333 0.934401 0.2118 0.1765 0.1882
0.092474 0.934401 0.2196 0.1961 0.2039
0.096615 0.934401 0.3059 0.2824 0.2902
0.100755 0.934401 0.5176 0.4941 0.5020
0.104896 0.934401 0.7843 0.7608 0.7686
0.109036 0.934401 0.9098 0.8941 0.8980
-0.024844 0.933021 0.8706 0.8549 0.8588
-0.020703 0.933021 0.5176 0.5020 0.5059
-0.016563 0.933021 0.3647 0.3412 0.3490
-0.012422 0.933021 0.2588 0.2353 0.2431
-0.008281 0.933021 0.2118 0.1882 0.1961
-0.004141 0.933021 0.1843 0.1608 0.1686
0.000000 0.933021 0.1882 0.1647 0.1725
0.004141 0.933021 0.1765 0.1412 0.1529
0.008281 0.933021 0.1412 0.1176 0.1255
0.012422 0.933021 0.1529 0.1294 0.1373
0.016563 0.933021 0.1804 0.1647 0.1686
